direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.04,0.00,0.00,0.02,0.02,0.06,0.703993976,0.641162932,0.628933549
0.00,0.08,0.00,39.68,28.57,20.31,0.692115724,0.708768785,0.808346748
59.62,0.25,0.00,74.36,50.94,37.88,0.141812682,0.279121429,0.418018460
98.52,63.60,0.00,97.88,68.67,53.93,0.035209224,0.121899530,0.224735469
98.73,1.02,48.64,98.90,72.72,63.33,0.020571228,0.078388259,0.126887202
99.49,69.83,59.70,99.24,75.32,70.32,0.018114960,0.061967563,0.089977637
99.62,69.83,73.01,99.34,75.32,75.42,0.017975204,0.055983696,0.068750091
99.62,69.83,73.43,99.45,75.32,77.03,0.017748352,0.051853135,0.057180539
99.62,69.83,77.80,99.45,75.32,79.05,0.017291084,0.050229967,0.048333429
99.70,69.83,75.89,99.57,75.32,80.18,0.018145692,0.050839070,0.044055358
99.70,69.83,82.08,99.57,75.32,81.80,0.017883567,0.047938392,0.038832366
99.75,69.83,83.14,99.62,75.32,83.31,0.017605521,0.049737640,0.036865499
99.75,69.83,83.01,99.62,75.32,82.90,0.018198704,0.048532065,0.037086695
99.75,69.83,82.42,99.62,75.32,82.64,0.017465277,0.045190182,0.033653103
99.75,69.83,83.98,99.62,75.32,84.19,0.018395314,0.045703601,0.031933062
99.75,69.83,83.98,99.62,75.32,84.19,0.017798148,0.047172625,0.031601444
99.75,69.83,84.79,99.62,75.32,84.63,0.017417990,0.046573855,0.030970683
99.70,72.50,85.42,99.60,77.61,85.63,0.018716035,0.046503313,0.030354453
99.70,72.50,84.83,99.60,77.61,85.71,0.018515516,0.045521032,0.030959999
99.70,72.50,84.83,99.60,77.61,85.71,0.018332385,0.045413818,0.030356549
99.70,72.50,84.83,99.60,77.61,85.71,0.018538425,0.045915995,0.030369330
99.70,72.50,84.83,99.60,77.61,85.71,0.017452912,0.046743017,0.030229572
99.70,72.50,84.83,99.60,77.61,85.71,0.017227247,0.046176095,0.029469812
99.70,72.50,84.83,99.60,77.61,85.71,0.017360857,0.046096824,0.028797148
99.70,72.50,84.83,99.60,77.61,85.71,0.017613344,0.049375709,0.028713752
99.70,72.50,84.83,99.60,77.61,85.71,0.018057480,0.049123291,0.028018458
99.70,72.50,87.33,99.60,77.61,86.32,0.017666912,0.045729931,0.028569805
99.70,72.50,87.33,99.60,77.61,86.32,0.017600352,0.043583702,0.027393077
99.70,72.50,87.33,99.60,77.61,86.32,0.018344468,0.046604168,0.028725766
99.70,72.50,87.33,99.60,77.61,86.32,0.017590504,0.045344044,0.028083973
99.70,72.50,87.33,99.60,77.61,86.32,0.017476659,0.046052262,0.027865499
99.70,72.50,87.33,99.60,77.61,86.32,0.016765580,0.044652242,0.029885104
99.70,72.50,87.33,99.60,77.61,86.32,0.017232137,0.044494465,0.027824713
99.70,72.50,87.33,99.60,77.61,86.32,0.017169345,0.044656225,0.027501335
99.70,72.50,87.33,99.60,77.61,86.32,0.016859030,0.044908714,0.026744789
99.70,72.50,87.33,99.60,77.61,86.32,0.017074360,0.047469184,0.026372032
99.70,72.50,87.33,99.60,77.61,86.32,0.018223777,0.049023136,0.026171859
99.70,72.50,87.33,99.60,77.61,86.32,0.017210972,0.045140173,0.026334176
99.70,72.50,88.64,99.60,77.61,87.52,0.016650965,0.045998830,0.026641978
