direct_1.jpg,direct_2.jpg,direct_3.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,time_1.jpg,time_2.jpg,time_3.jpg
0.00,0.08,0.00,0.02,0.03,0.02,55.354522705,55.034851074,55.845706940
0.04,0.21,0.00,50.34,35.53,29.36,3.600380421,3.740904808,4.250244617
64.49,0.81,0.00,82.77,59.52,59.84,0.549748242,1.171021938,1.427499533
98.94,64.75,90.34,98.62,74.13,90.04,0.135766611,0.446670473,0.401754946
100.00,70.30,99.24,100.00,78.43,98.90,0.091438994,0.290230632,0.140679955
100.00,70.30,99.79,100.00,78.43,99.64,0.085854284,0.252483815,0.096160904
100.00,75.76,100.00,100.00,81.77,100.00,0.085017987,0.232019484,0.084568739
100.00,75.76,100.00,100.00,81.77,100.00,0.085300706,0.216509938,0.078823119
100.00,75.76,100.00,100.00,81.77,100.00,0.083844535,0.205653921,0.079940274
100.00,75.76,100.00,100.00,81.77,100.00,0.083575360,0.202451661,0.081692994
100.00,75.76,100.00,100.00,81.77,100.00,0.081768572,0.201647609,0.083320767
100.00,78.43,100.00,100.00,83.72,100.00,0.082190432,0.200826198,0.081837431
100.00,78.43,100.00,100.00,83.72,100.00,0.082764894,0.190002725,0.080080584
100.00,79.62,100.00,100.00,83.54,100.00,0.084268004,0.185159415,0.077988558
100.00,79.62,100.00,100.00,83.54,100.00,0.082116537,0.180079967,0.080137506
100.00,79.62,100.00,100.00,83.54,100.00,0.081519514,0.177055046,0.080818273
100.00,80.25,100.00,100.00,84.76,100.00,0.083203584,0.178409085,0.078948207
100.00,80.25,100.00,100.00,84.76,100.00,0.085303783,0.175117627,0.077885397
100.00,80.25,100.00,100.00,84.76,100.00,0.083510473,0.176004097,0.078939483
100.00,80.25,100.00,100.00,84.76,100.00,0.082930073,0.170395359,0.082956962
100.00,80.25,100.00,100.00,84.76,100.00,0.084318355,0.167529404,0.079946905
100.00,80.25,100.00,100.00,84.76,100.00,0.081311516,0.164875969,0.078057557
100.00,80.25,100.00,100.00,84.76,100.00,0.080450065,0.165232807,0.080014721
100.00,80.25,100.00,100.00,84.76,100.00,0.082385503,0.159490958,0.078574196
100.00,80.25,100.00,100.00,84.76,100.00,0.084429689,0.164713994,0.076449201
100.00,80.25,100.00,100.00,84.76,100.00,0.082582526,0.161682218,0.078911677
100.00,80.25,100.00,100.00,84.76,100.00,0.080947071,0.161163002,0.079966247
100.00,80.25,100.00,100.00,84.76,100.00,0.081158839,0.159076497,0.075947449
100.00,80.25,100.00,100.00,84.76,100.00,0.081873409,0.154442027,0.076155230
100.00,80.25,100.00,100.00,84.76,100.00,0.081269890,0.158087030,0.078642078
100.00,80.93,100.00,100.00,86.74,100.00,0.082462050,0.158358723,0.077092603
100.00,80.93,100.00,100.00,86.74,100.00,0.082974777,0.156687289,0.080681376
100.00,80.93,100.00,100.00,86.74,100.00,0.082119606,0.163265318,0.081288531
100.00,80.93,100.00,100.00,86.74,100.00,0.080918781,0.157154754,0.077872261
100.00,80.93,100.00,100.00,86.74,100.00,0.082250774,0.159085795,0.078011610
100.00,80.93,100.00,100.00,86.74,100.00,0.082192250,0.158989266,0.082695879
100.00,80.93,100.00,100.00,86.74,100.00,0.083072901,0.155195713,0.082195379
100.00,80.93,100.00,100.00,86.74,100.00,0.081211433,0.157876730,0.077247865
100.00,80.93,100.00,100.00,86.74,100.00,0.079256088,0.153358191,0.076876506
100.00,80.93,100.00,100.00,86.74,100.00,0.083236896,0.151510537,0.080217823
100.00,80.93,100.00,100.00,86.74,100.00,0.083151966,0.151094496,0.079581685
100.00,80.93,100.00,100.00,86.74,100.00,0.084575310,0.153190076,0.079991952
100.00,80.93,100.00,100.00,86.74,100.00,0.082507655,0.153444245,0.080978848
100.00,80.93,100.00,100.00,86.74,100.00,0.083944686,0.156293854,0.081900433
100.00,80.93,100.00,100.00,86.74,100.00,0.080674753,0.149690077,0.077196248
100.00,80.93,100.00,100.00,86.74,100.00,0.079065204,0.151214540,0.077132694
100.00,80.93,100.00,100.00,86.74,100.00,0.077824019,0.150158167,0.076604389
100.00,80.93,100.00,100.00,86.74,100.00,0.077170275,0.157217622,0.076892227
100.00,80.93,100.00,100.00,86.74,100.00,0.080697872,0.158228457,0.078053437
100.00,80.93,100.00,100.00,86.74,100.00,0.080737121,0.154579550,0.076997474
100.00,80.93,100.00,100.00,86.74,100.00,0.079391167,0.151878893,0.078884996
100.00,80.93,100.00,100.00,86.74,100.00,0.080253594,0.148935616,0.077947631
100.00,80.93,100.00,100.00,86.74,100.00,0.081331909,0.154276773,0.079957105
100.00,80.93,100.00,100.00,86.74,100.00,0.081587538,0.151162162,0.080961801
100.00,80.93,100.00,100.00,86.74,100.00,0.081936613,0.150687173,0.079980642
100.00,80.93,100.00,100.00,86.74,100.00,0.079208948,0.152203739,0.083685495
100.00,80.93,100.00,100.00,86.74,100.00,0.083473176,0.146763206,0.081330925
100.00,80.93,100.00,100.00,86.74,100.00,0.081557296,0.145725042,0.080730833
100.00,80.93,100.00,100.00,86.74,100.00,0.076410025,0.143309861,0.079233103
100.00,80.93,100.00,100.00,86.74,100.00,0.079701200,0.145775124,0.075830810
100.00,80.93,100.00,100.00,86.74,100.00,0.082709931,0.142991006,0.076895088
100.00,80.93,100.00,100.00,86.74,100.00,0.082021616,0.142038271,0.077149309
100.00,80.93,100.00,100.00,86.74,100.00,0.082148522,0.142784357,0.078775622
100.00,80.93,100.00,100.00,86.74,100.00,0.082235262,0.148447841,0.077184938
100.00,80.93,100.00,100.00,86.74,100.00,0.084096879,0.143164098,0.076755747
100.00,80.93,100.00,100.00,86.74,100.00,0.082772091,0.142575994,0.076044247
100.00,80.93,100.00,100.00,86.74,100.00,0.082479440,0.143802255,0.078207098
100.00,80.93,100.00,100.00,86.74,100.00,0.078199215,0.139547929,0.078831360
100.00,80.93,100.00,100.00,86.74,100.00,0.082271867,0.140548661,0.080629766
100.00,80.93,100.00,100.00,86.74,100.00,0.081500098,0.140458554,0.077286355
100.00,80.93,100.00,100.00,86.74,100.00,0.081325211,0.142160073,0.077911101
100.00,80.93,100.00,100.00,86.74,100.00,0.081057914,0.146382138,0.077937566
100.00,80.93,100.00,100.00,86.74,100.00,0.082862318,0.139785260,0.078201085
100.00,80.93,100.00,100.00,86.74,100.00,0.082742266,0.143609554,0.078701451
100.00,80.93,100.00,100.00,86.74,100.00,0.083053842,0.138427421,0.078258432
100.00,80.93,100.00,100.00,86.74,100.00,0.080909424,0.143090755,0.076735765
100.00,80.93,100.00,100.00,86.74,100.00,0.080588557,0.138756528,0.079851918
100.00,80.93,100.00,100.00,86.74,100.00,0.082945235,0.137382492,0.085696712
100.00,80.93,100.00,100.00,86.74,100.00,0.079636872,0.136488855,0.079384103
100.00,80.93,100.00,100.00,86.74,100.00,0.081579298,0.133820057,0.077212662
100.00,80.93,100.00,100.00,86.74,100.00,0.083019264,0.135968372,0.076723479
100.00,80.93,100.00,100.00,86.74,100.00,0.084608771,0.136409581,0.077236064
100.00,80.93,100.00,100.00,86.74,100.00,0.082932241,0.143556818,0.078856573
100.00,80.93,100.00,100.00,86.74,100.00,0.082349390,0.138462007,0.078026965
100.00,80.93,100.00,100.00,86.74,100.00,0.082419448,0.139484793,0.080714621
100.00,80.93,100.00,100.00,86.74,100.00,0.082120791,0.137981698,0.082738206
100.00,80.93,100.00,100.00,86.74,100.00,0.083889373,0.153613821,0.080934986
100.00,80.93,100.00,100.00,86.74,100.00,0.083014093,0.139997661,0.076193646
100.00,80.93,100.00,100.00,86.74,100.00,0.080039106,0.139735460,0.078001477
100.00,80.93,100.00,100.00,86.74,100.00,0.079675779,0.136891916,0.079969391
100.00,80.93,100.00,100.00,86.74,100.00,0.081643417,0.135614395,0.077923879
100.00,80.93,100.00,100.00,86.74,100.00,0.081914894,0.139009923,0.078057982
100.00,80.93,100.00,100.00,86.74,100.00,0.081992984,0.141687319,0.078803353
100.00,80.93,100.00,100.00,86.74,100.00,0.080759890,0.136253819,0.079666197
100.00,80.93,100.00,100.00,86.74,100.00,0.080389231,0.134518415,0.082521684
100.00,80.93,100.00,100.00,86.74,100.00,0.082194760,0.137531474,0.081592560
100.00,80.93,100.00,100.00,86.74,100.00,0.083257847,0.138312608,0.081428565
100.00,80.93,100.00,100.00,86.74,100.00,0.083412208,0.134528190,0.077601202
100.00,80.93,100.00,100.00,86.74,100.00,0.083225861,0.136075169,0.080615170
100.00,80.93,100.00,100.00,86.74,100.00,0.082477063,0.134379849,0.082092710
