direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.23,0.23,0.23,0.46,0.69,0.00,0.00,0.46,0.00,0.00,0.23,0.23,0.46,0.23,0.46,0.00,0.23,0.00,0.23,0.23,0.23,0.37,0.00,0.00,0.23,0.69,0.50,0.15,0.14,0.12,0.23,0.37,0.35,0.52,0.12,0.14,0.27,0.12,0.12,0.12,0.103690349,0.043280967,0.043334886,0.082056805,0.042912751,0.043819048,0.041898973,0.045942225,0.043154273,0.044705782,0.046269510,0.044072159,0.045952562,0.043250304,0.074989527,0.042181697,0.049397465,0.052877851,0.041563723,0.047578245
2.31,0.46,0.00,0.46,0.23,0.23,0.69,0.00,0.00,0.23,0.00,2.08,0.46,3.94,0.23,0.00,0.00,2.08,0.00,2.08,27.04,38.14,47.69,33.72,40.88,33.35,45.62,55.63,37.36,38.56,34.99,64.04,35.36,58.66,36.71,35.03,44.08,48.46,57.39,53.92,0.048822023,0.036091466,0.038027812,0.049186327,0.038886610,0.045381866,0.038298041,0.036852971,0.035624001,0.038842887,0.043721896,0.036831532,0.039126314,0.036249243,0.041043945,0.035283726,0.042181421,0.039924767,0.036819238,0.046246048
0.00,65.05,71.06,57.41,84.03,0.69,80.32,97.69,87.50,2.08,0.23,81.94,18.75,94.44,0.00,9.95,93.75,1.85,96.76,91.90,45.56,65.43,80.56,57.20,82.85,54.34,80.56,95.66,83.60,62.19,74.13,85.01,60.03,92.59,62.13,76.45,92.32,72.76,96.70,91.53,0.032616671,0.020169333,0.020951021,0.023026427,0.020777810,0.027652107,0.022317516,0.019231470,0.020679610,0.022370389,0.023550745,0.019682242,0.020684149,0.019686991,0.021637447,0.021074155,0.020387104,0.022241175,0.019487027,0.019207444
68.98,81.71,99.31,64.58,100.00,71.06,99.31,100.00,96.76,97.92,100.00,96.30,81.25,100.00,1.62,100.00,99.31,92.13,100.00,100.00,69.70,78.95,98.96,62.40,100.00,71.76,98.98,100.00,95.79,97.30,100.00,96.59,78.43,100.00,83.99,100.00,99.13,89.56,100.00,100.00,0.018239131,0.016064895,0.016789105,0.018558595,0.017162070,0.020817133,0.017067084,0.015133599,0.016891425,0.017965484,0.017642524,0.014456464,0.015871080,0.015907397,0.017016515,0.015657427,0.014861278,0.017070087,0.014890403,0.014804635
84.72,83.10,100.00,65.74,100.00,84.72,100.00,100.00,99.54,100.00,100.00,97.22,84.03,100.00,91.67,100.00,100.00,87.04,100.00,100.00,81.25,80.44,100.00,63.79,100.00,84.78,100.00,100.00,99.19,100.00,100.00,97.65,83.53,100.00,88.93,100.00,100.00,92.23,100.00,100.00,0.017131967,0.014532524,0.014447245,0.016723871,0.013646766,0.019043939,0.014563115,0.013225957,0.014951307,0.014750087,0.014596152,0.013117141,0.013768993,0.012682713,0.016109526,0.013463077,0.013257946,0.013700405,0.012610913,0.012920670
87.27,84.49,100.00,66.20,100.00,84.72,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,95.37,100.00,100.00,88.66,100.00,100.00,85.15,82.64,100.00,64.85,100.00,84.78,100.00,100.00,100.00,100.00,100.00,100.00,84.97,100.00,93.56,100.00,100.00,93.90,100.00,100.00,0.014880416,0.013481306,0.012946093,0.015752135,0.012077727,0.015769806,0.013153529,0.012213503,0.013674493,0.012903838,0.013293636,0.012069555,0.012284743,0.011982389,0.014429155,0.011727669,0.012319037,0.012574455,0.012577738,0.012287258
87.73,84.95,100.00,66.20,100.00,91.67,100.00,100.00,100.00,100.00,100.00,100.00,86.11,100.00,95.37,100.00,100.00,88.66,100.00,100.00,84.95,82.72,100.00,64.85,100.00,89.02,100.00,100.00,100.00,100.00,100.00,100.00,84.97,100.00,93.56,100.00,100.00,93.90,100.00,100.00,0.013951773,0.012887145,0.013044224,0.016105894,0.011842353,0.014987556,0.012634800,0.011791227,0.012108807,0.012292565,0.013452182,0.012196391,0.012450762,0.012008232,0.014075047,0.011524983,0.011588401,0.012624672,0.011642321,0.012197438
87.73,84.95,100.00,66.20,100.00,91.67,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,95.37,100.00,100.00,88.66,100.00,100.00,84.95,82.72,100.00,64.85,100.00,89.02,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,93.56,100.00,100.00,93.90,100.00,100.00,0.014268235,0.012786500,0.012797536,0.017236035,0.011960179,0.013726318,0.012246609,0.011658804,0.011662575,0.012459772,0.013466988,0.011356451,0.011978828,0.012054818,0.013814810,0.011249031,0.011515275,0.012356194,0.011730393,0.012036099
89.12,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,95.83,100.00,100.00,88.66,100.00,100.00,86.50,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,94.02,100.00,100.00,93.90,100.00,100.00,0.013330164,0.013127757,0.012225795,0.015906140,0.011812111,0.013847287,0.012316732,0.011972612,0.011329770,0.011957945,0.012659594,0.011723688,0.012227262,0.011875739,0.012737819,0.011373911,0.011799120,0.011905422,0.011571639,0.012208125
88.43,84.95,100.00,66.20,100.00,96.76,100.00,100.00,100.00,100.00,100.00,100.00,89.81,100.00,96.76,100.00,100.00,88.66,100.00,100.00,85.88,82.72,100.00,64.85,100.00,95.39,100.00,100.00,100.00,100.00,100.00,100.00,88.12,100.00,95.29,100.00,100.00,93.90,100.00,100.00,0.012706320,0.012925350,0.012258691,0.015330000,0.011814416,0.013556109,0.012010328,0.011532666,0.011869941,0.011649165,0.012446781,0.012034842,0.012395865,0.012055795,0.012876040,0.011459749,0.011222560,0.012218112,0.010841074,0.012752557
