direct_1.png,direct_2.png,direct_3.png,direct_4.png,direct_5.png,direct_6.png,direct_7.png,direct_8.png,direct_9.png,direct_10.png,direct_11.png,direct_12.png,direct_13.png,direct_14.png,direct_15.png,direct_16.png,direct_17.png,direct_18.png,direct_19.png,direct_20.png,neighbour_1.png,neighbour_2.png,neighbour_3.png,neighbour_4.png,neighbour_5.png,neighbour_6.png,neighbour_7.png,neighbour_8.png,neighbour_9.png,neighbour_10.png,neighbour_11.png,neighbour_12.png,neighbour_13.png,neighbour_14.png,neighbour_15.png,neighbour_16.png,neighbour_17.png,neighbour_18.png,neighbour_19.png,neighbour_20.png,time_1.png,time_2.png,time_3.png,time_4.png,time_5.png,time_6.png,time_7.png,time_8.png,time_9.png,time_10.png,time_11.png,time_12.png,time_13.png,time_14.png,time_15.png,time_16.png,time_17.png,time_18.png,time_19.png,time_20.png
0.23,0.23,0.69,0.23,0.23,0.00,0.23,0.00,0.00,0.46,0.23,0.00,0.00,0.23,0.23,0.23,0.23,0.00,0.00,0.23,0.15,0.12,0.77,0.00,0.75,0.23,0.73,0.00,0.37,0.12,0.23,0.12,0.14,0.23,0.48,0.35,0.12,0.12,0.12,0.12,1.276761055,1.265582919,1.181896925,1.256988883,1.178091526,1.259344697,1.237207651,1.241833687,1.223168015,1.245689273,1.186075687,1.253115892,1.189075351,1.218592882,1.236013174,1.284364104,1.256256819,1.244670391,1.239762187,1.287445903
0.69,5.09,9.49,0.46,0.46,0.23,0.23,0.00,0.00,0.23,0.00,3.94,0.69,0.93,0.46,0.69,0.69,0.00,21.99,0.69,30.75,41.03,45.81,34.97,35.80,26.76,49.86,59.26,37.91,69.89,41.36,61.44,27.41,62.65,34.32,54.28,51.87,67.13,44.95,65.70,0.064895608,0.062336002,0.059737351,0.059086345,0.061314892,0.066324107,0.063075289,0.061607465,0.061072748,0.061695047,0.064787976,0.057266932,0.064535983,0.057973184,0.062940352,0.064819828,0.061961152,0.061533432,0.055692740,0.061433069
0.00,16.90,90.97,0.46,86.81,70.83,76.16,100.00,4.40,93.98,99.54,84.03,0.00,98.38,2.31,95.60,99.07,97.92,98.61,98.84,45.33,53.03,88.73,34.97,89.18,73.42,73.82,100.00,72.36,93.00,99.09,86.75,52.87,97.24,57.79,94.56,98.73,97.47,98.73,97.80,0.037302166,0.034907043,0.032983430,0.035242990,0.030477392,0.036768012,0.039144486,0.026441932,0.032893401,0.028559431,0.029162249,0.029261077,0.033012901,0.028056284,0.033768393,0.029582702,0.027737940,0.028173340,0.025906028,0.025279256
84.95,82.87,100.00,0.46,100.00,91.90,90.74,100.00,98.61,100.00,100.00,93.29,89.81,100.00,0.00,100.00,100.00,100.00,100.00,100.00,81.06,80.65,100.00,59.63,100.00,91.84,89.64,100.00,97.92,100.00,100.00,94.27,87.85,100.00,72.05,100.00,100.00,100.00,100.00,100.00,0.026592514,0.026039636,0.023515509,0.027280468,0.021109909,0.026157811,0.024277708,0.018607993,0.027356597,0.020771308,0.021097476,0.020982513,0.023854179,0.019561768,0.023903280,0.020927688,0.020453872,0.019697612,0.017275875,0.017925208
90.05,83.33,100.00,64.12,100.00,97.45,97.92,100.00,100.00,100.00,100.00,94.91,90.05,100.00,94.21,100.00,100.00,100.00,100.00,100.00,87.17,81.44,100.00,62.73,100.00,97.40,97.16,100.00,100.00,100.00,100.00,95.74,88.18,100.00,91.71,100.00,100.00,100.00,100.00,100.00,0.021696310,0.021067305,0.017612660,0.024374859,0.017541768,0.021404924,0.018592836,0.014951571,0.019334288,0.015761122,0.015403036,0.017038619,0.019033406,0.015456816,0.019162336,0.016028062,0.017204495,0.015416097,0.012741948,0.014978042
89.81,83.33,100.00,64.12,100.00,100.00,98.84,100.00,100.00,100.00,100.00,94.91,90.05,100.00,94.68,100.00,100.00,100.00,100.00,100.00,86.77,81.44,100.00,62.73,100.00,100.00,98.96,100.00,100.00,100.00,100.00,95.20,88.18,100.00,92.52,100.00,100.00,100.00,100.00,100.00,0.018481925,0.019328842,0.015606559,0.021549219,0.016028831,0.019320600,0.016531909,0.014022031,0.016240384,0.015062831,0.014630084,0.015825726,0.017090583,0.014415876,0.016049784,0.014645309,0.015891379,0.015112419,0.012746837,0.014566666
89.81,83.33,100.00,64.12,100.00,100.00,99.31,100.00,100.00,100.00,100.00,90.97,90.05,100.00,94.68,100.00,100.00,100.00,100.00,100.00,86.77,81.44,100.00,62.73,100.00,100.00,99.09,100.00,100.00,100.00,100.00,96.53,88.18,100.00,92.52,100.00,100.00,100.00,100.00,100.00,0.017908445,0.018668476,0.014990683,0.021680456,0.015775718,0.017679639,0.016025966,0.014788139,0.016054044,0.014556330,0.014480271,0.016473729,0.016098253,0.014311669,0.014921399,0.015249172,0.015469597,0.015102013,0.012683769,0.014402675
90.28,83.33,100.00,65.28,100.00,100.00,99.31,100.00,100.00,100.00,100.00,97.45,90.05,100.00,94.44,100.00,100.00,100.00,100.00,100.00,87.25,81.44,100.00,63.56,100.00,100.00,99.09,100.00,100.00,100.00,100.00,96.84,88.18,100.00,92.69,100.00,100.00,100.00,100.00,100.00,0.018295934,0.017875129,0.014875932,0.021671863,0.015641270,0.016543644,0.014580635,0.014243643,0.015539300,0.015063320,0.014384865,0.016477013,0.015869448,0.013905114,0.014529091,0.014424117,0.015234435,0.014515332,0.012674200,0.014027059
90.28,83.33,100.00,65.28,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.45,90.05,100.00,94.44,100.00,100.00,100.00,100.00,100.00,87.25,81.44,100.00,63.56,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.84,88.18,100.00,92.69,100.00,100.00,100.00,100.00,100.00,0.017515928,0.018512027,0.013376332,0.021978617,0.015981195,0.016168445,0.015366229,0.014583778,0.013923133,0.013783097,0.014542221,0.015537624,0.015469318,0.014537123,0.013876199,0.015155303,0.014973432,0.014689311,0.012727072,0.014434384
90.74,83.33,100.00,65.28,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.30,90.05,100.00,94.21,100.00,100.00,100.00,100.00,100.00,87.77,81.44,100.00,63.56,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.91,88.18,100.00,92.17,100.00,100.00,100.00,100.00,100.00,0.016749050,0.017832035,0.014966727,0.022074440,0.014900935,0.016070317,0.014471680,0.015052983,0.015499280,0.014585873,0.014290786,0.016160903,0.015322438,0.014314882,0.013745941,0.015307281,0.015518766,0.014949965,0.012941769,0.014814470
