direct_1.jpg,direct_2.jpg,direct_3.jpg,direct_4.jpg,direct_5.jpg,direct_6.jpg,direct_7.jpg,direct_8.jpg,direct_9.jpg,direct_10.jpg,direct_11.jpg,direct_12.jpg,direct_13.jpg,direct_14.jpg,direct_15.jpg,direct_16.jpg,direct_17.jpg,direct_18.jpg,direct_19.jpg,direct_20.jpg,neighbour_1.jpg,neighbour_2.jpg,neighbour_3.jpg,neighbour_4.jpg,neighbour_5.jpg,neighbour_6.jpg,neighbour_7.jpg,neighbour_8.jpg,neighbour_9.jpg,neighbour_10.jpg,neighbour_11.jpg,neighbour_12.jpg,neighbour_13.jpg,neighbour_14.jpg,neighbour_15.jpg,neighbour_16.jpg,neighbour_17.jpg,neighbour_18.jpg,neighbour_19.jpg,neighbour_20.jpg,time_1.jpg,time_2.jpg,time_3.jpg,time_4.jpg,time_5.jpg,time_6.jpg,time_7.jpg,time_8.jpg,time_9.jpg,time_10.jpg,time_11.jpg,time_12.jpg,time_13.jpg,time_14.jpg,time_15.jpg,time_16.jpg,time_17.jpg,time_18.jpg,time_19.jpg,time_20.jpg
0.00,0.12,0.25,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.12,0.00,0.00,0.25,0.12,0.00,0.25,0.00,0.00,0.25,0.00,0.13,0.12,0.00,0.00,0.00,0.12,0.13,0.06,0.06,0.07,0.06,0.25,0.12,0.19,0.19,0.21,0.19,0.37,0.19,0.150755152,0.096361421,0.096853122,0.097702347,0.102208599,0.084200837,0.096520863,0.088512227,0.096580654,0.095005535,0.095859870,0.083087668,0.089502886,0.095309488,0.101082221,0.089925863,0.087869383,0.094942123,0.093417913,0.100440703
0.25,0.12,0.00,0.87,0.00,0.12,0.00,0.00,0.12,0.12,0.00,0.12,0.25,0.25,0.00,0.00,0.12,0.75,0.00,0.12,32.00,31.41,29.92,35.32,31.82,35.58,51.12,30.81,36.92,33.80,42.00,24.16,39.13,40.61,49.95,32.99,32.29,29.53,37.43,46.17,0.056197099,0.054830048,0.052611738,0.053281680,0.055251904,0.053271692,0.053928506,0.056585994,0.050357878,0.055899844,0.056616653,0.052860592,0.053475425,0.056565944,0.055195194,0.049180936,0.055651616,0.054720320,0.057178263,0.056854676
0.12,0.00,0.87,1.86,1.12,16.65,75.03,0.00,50.31,0.12,0.25,0.12,0.00,85.34,62.36,0.37,0.12,0.12,79.25,76.52,48.60,56.20,50.70,45.65,62.10,57.59,83.51,47.96,58.60,66.05,69.37,24.16,70.57,82.86,75.40,46.75,50.64,51.90,78.87,80.22,0.025300432,0.021651722,0.021692513,0.026018078,0.022371812,0.022516528,0.020356957,0.023643248,0.022563253,0.018926976,0.018065313,0.031408902,0.018511824,0.017143931,0.021676727,0.024463631,0.025002409,0.022986157,0.019209772,0.016574565
72.42,80.37,49.19,60.50,90.81,88.57,100.00,66.34,67.58,96.15,90.31,0.25,98.39,99.38,99.38,55.03,82.48,80.50,98.01,95.90,78.10,78.71,67.57,68.49,89.49,85.39,100.00,71.15,78.64,95.47,89.29,48.82,97.90,98.77,98.76,73.56,85.21,82.24,97.48,94.51,0.012106098,0.012180412,0.012660589,0.013948089,0.010714669,0.012749849,0.008490773,0.012746496,0.011293046,0.010093199,0.009145209,0.020814853,0.009408450,0.008892165,0.010570442,0.013322218,0.013042563,0.012810752,0.009906646,0.009093873
73.54,84.22,78.01,67.08,97.02,92.67,100.00,84.60,89.07,99.75,97.39,1.24,100.00,100.00,100.00,66.46,97.64,88.57,99.25,97.39,79.27,84.47,79.74,76.45,96.00,92.23,100.00,84.13,88.69,99.61,96.21,58.81,100.00,100.00,100.00,79.73,95.98,87.53,99.03,97.29,0.008997979,0.008569417,0.010186231,0.010161925,0.007331225,0.008439228,0.005831610,0.009234191,0.008261475,0.007026078,0.006599612,0.013727103,0.006531234,0.006055249,0.007829841,0.010304616,0.009079207,0.008318048,0.006867393,0.006277701
80.37,86.83,84.60,73.29,98.14,99.13,100.00,92.17,95.65,100.00,98.76,52.55,100.00,100.00,100.00,78.51,100.00,89.69,100.00,97.39,85.53,86.60,88.29,81.27,97.95,98.78,100.00,92.82,95.11,100.00,97.96,65.43,100.00,100.00,100.00,84.82,100.00,88.19,100.00,97.29,0.007635535,0.007209698,0.008558941,0.008518571,0.005962217,0.006876263,0.005429518,0.007880478,0.007145930,0.005985754,0.006249834,0.011270067,0.005575003,0.004873701,0.006748868,0.007460576,0.006934303,0.007256423,0.005641215,0.005615233
80.37,85.96,84.60,82.11,98.14,99.13,100.00,96.02,95.65,100.00,98.63,74.29,100.00,100.00,100.00,80.62,100.00,89.94,100.00,97.76,85.53,85.48,88.29,86.29,97.95,98.78,100.00,96.53,95.11,100.00,97.94,75.66,100.00,100.00,100.00,86.06,100.00,88.83,100.00,97.57,0.006983474,0.006848884,0.007759997,0.007740790,0.005697579,0.006278051,0.005321749,0.006935700,0.006462997,0.005529465,0.005961239,0.010395204,0.005230953,0.005423791,0.005614116,0.007007080,0.005938680,0.006573630,0.005495730,0.005483857
80.37,85.96,84.60,82.48,99.75,97.14,100.00,100.00,97.02,100.00,98.88,74.29,100.00,100.00,100.00,77.27,100.00,90.06,100.00,97.76,85.53,85.48,88.29,88.32,99.61,97.67,100.00,100.00,96.69,100.00,98.18,75.66,100.00,100.00,100.00,84.34,100.00,88.83,100.00,98.07,0.007173938,0.006416900,0.007039698,0.007148305,0.005810098,0.005754572,0.005168931,0.006135499,0.005956560,0.005244432,0.005946851,0.009216590,0.005319654,0.004978257,0.005526531,0.007025729,0.005610135,0.006141645,0.005213561,0.005497266
80.37,85.96,87.70,77.52,99.75,97.14,100.00,100.00,97.02,100.00,98.88,74.29,100.00,100.00,100.00,77.27,100.00,90.06,100.00,97.76,85.53,85.48,90.35,86.40,99.61,97.67,100.00,100.00,96.69,100.00,98.18,75.66,100.00,100.00,100.00,84.34,100.00,88.83,100.00,98.07,0.007008827,0.006519501,0.006982635,0.007213120,0.005542176,0.005776642,0.005374621,0.005768679,0.006070196,0.005091754,0.005962357,0.008742630,0.005356461,0.005328733,0.005366380,0.006884435,0.005421486,0.006301938,0.005290738,0.005309736
80.37,88.94,89.57,77.52,100.00,97.14,100.00,100.00,94.53,100.00,99.01,66.34,100.00,100.00,100.00,80.00,100.00,90.06,100.00,97.76,85.53,88.36,90.87,86.40,100.00,97.67,100.00,100.00,96.09,100.00,98.14,75.70,100.00,100.00,100.00,86.13,100.00,88.83,100.00,98.07,0.007183925,0.006027940,0.006939123,0.007248112,0.005461297,0.005776503,0.005264128,0.005449634,0.005745003,0.004915677,0.005906621,0.007897659,0.005483018,0.005243105,0.005258191,0.007016370,0.005350385,0.005929530,0.004924477,0.005451729
80.37,88.94,89.57,77.52,100.00,97.14,100.00,100.00,94.53,100.00,99.01,66.34,100.00,100.00,100.00,80.37,100.00,90.19,100.00,97.76,85.53,88.36,90.87,86.40,100.00,97.67,100.00,100.00,96.09,100.00,98.14,75.70,100.00,100.00,100.00,86.14,100.00,89.07,100.00,98.07,0.006878429,0.006020816,0.006458248,0.006965733,0.005378741,0.005349268,0.005499921,0.005416737,0.005690524,0.005037834,0.005581079,0.008623756,0.005780623,0.005287247,0.005324473,0.006343494,0.005760438,0.006261288,0.004809794,0.005322308
80.37,88.94,89.57,88.70,100.00,97.14,100.00,100.00,94.53,100.00,99.01,66.34,100.00,100.00,100.00,81.12,100.00,90.19,100.00,97.76,85.53,88.36,90.87,89.52,100.00,97.67,100.00,100.00,96.09,100.00,98.14,75.70,100.00,100.00,100.00,88.03,100.00,89.07,100.00,98.07,0.006597167,0.006289016,0.006665964,0.006794825,0.005374691,0.005404934,0.004992994,0.005488257,0.005574584,0.004585106,0.005549649,0.008193517,0.006111473,0.005089589,0.005295138,0.006815708,0.005619214,0.005708335,0.004919379,0.005404164
80.37,88.94,89.19,78.01,100.00,97.14,100.00,100.00,94.53,100.00,98.88,75.78,100.00,100.00,100.00,80.99,100.00,89.94,100.00,97.76,85.53,88.36,91.28,87.95,100.00,97.67,100.00,100.00,96.09,100.00,97.98,78.51,100.00,100.00,100.00,87.61,100.00,88.82,100.00,98.07,0.006313182,0.006469842,0.006359209,0.006687056,0.005490911,0.005121368,0.005270624,0.005241010,0.005718253,0.005259588,0.005331528,0.007839409,0.005395574,0.004983076,0.005464021,0.006360536,0.005229066,0.005918983,0.004889695,0.005296536
80.37,88.94,89.19,78.63,100.00,98.14,100.00,100.00,94.53,100.00,98.88,75.78,100.00,100.00,100.00,80.99,100.00,89.94,100.00,97.76,85.53,88.36,91.28,89.95,100.00,97.40,100.00,100.00,96.09,100.00,97.98,78.51,100.00,100.00,100.00,87.61,100.00,88.82,100.00,98.07,0.006420183,0.006263384,0.006398601,0.006454686,0.005071778,0.005093988,0.005131285,0.005708125,0.005548951,0.004626804,0.005436642,0.007520712,0.005788096,0.005171375,0.005391802,0.005896285,0.005084839,0.006158827,0.004685472,0.005121856
